KitA,KitB,Chr,Start,End,cM,SNPs,Source
A715132,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A159092,A715132,19,7635856,13710380,11.3,,triang_1710113373.csv
LF8212927,M130633,19,6944843,11848587,11,,triang_1710113373.csv
LF8212927,M297536,19,6944843,11848587,11,,triang_1710113373.csv
A189271,LF8212927,19,6944843,14298442,14.8,,triang_1710113373.csv
LF8212927,TJ5054086,19,7115573,13597003,12.5,,triang_1710113373.csv
A605663,LF8212927,19,7115573,13720731,12.8,,triang_1710113373.csv
A715132,LF8212927,19,7115573,13720731,12.8,,triang_1710113373.csv
LF8212927,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A159092,LF8212927,19,7635856,14298442,12.8,,triang_1710113373.csv
M130633,M297536,19,6944843,12939792,12,,triang_1710113373.csv
A189271,M130633,19,6944843,12654912,11.7,,triang_1710113373.csv
LF8212927,M130633,19,6944843,11848587,11,,triang_1710113373.csv
M130633,TJ5054086,19,7115573,11842323,10.4,,triang_1710113373.csv
A605663,M130633,19,7115573,11842323,10.4,,triang_1710113373.csv
A715132,M130633,19,7132081,11848587,10.3,,triang_1710113373.csv
M130633,XT5583147,19,7259346,12939792,10.9,,triang_1710113373.csv
A159092,M130633,19,7635856,11842323,8.9,,triang_1710113373.csv
A189271,M297536,19,6944843,12494135,11.5,,triang_1710113373.csv
LF8212927,M297536,19,6944843,11848587,11,,triang_1710113373.csv
M130633,M297536,19,6944843,12939792,12,,triang_1710113373.csv
A605663,M297536,19,7115573,11842323,10.4,,triang_1710113373.csv
A715132,M297536,19,7132081,11848587,10.3,,triang_1710113373.csv
M297536,TJ5054086,19,7138828,11842323,10.3,,triang_1710113373.csv
M297536,XT5583147,19,7259346,12829697,10.8,,triang_1710113373.csv
A159092,M297536,19,7635856,11842323,8.9,,triang_1710113373.csv
A189271,TJ5054086,19,7115573,13597003,12.5,,triang_1710113373.csv
A605663,TJ5054086,19,7115573,13616060,12.5,,triang_1710113373.csv
A715132,TJ5054086,19,7115573,13616060,12.5,,triang_1710113373.csv
LF8212927,TJ5054086,19,7115573,13597003,12.5,,triang_1710113373.csv
M130633,TJ5054086,19,7115573,11842323,10.4,,triang_1710113373.csv
M297536,TJ5054086,19,7138828,11842323,10.3,,triang_1710113373.csv
TJ5054086,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A159092,TJ5054086,19,7635856,13597003,11.1,,triang_1710113373.csv
A189271,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A605663,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A715132,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
LF8212927,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
M130633,XT5583147,19,7259346,12939792,10.9,,triang_1710113373.csv
M297536,XT5583147,19,7259346,12829697,10.8,,triang_1710113373.csv
TJ5054086,XT5583147,19,7259346,13616060,12.1,,triang_1710113373.csv
A159092,XT5583147,19,7635856,13616060,11.1,,triang_1710113373.csv
A159092,A189271,19,7635856,15141624,14.3,,triang_423444393.csv
A159092,A605663,19,7635856,13710380,11.3,,triang_423444393.csv
A159092,A715132,19,7635856,13710380,11.3,,triang_423444393.csv
A159092,LF8212927,19,7635856,14298442,12.8,,triang_423444393.csv
A159092,M130633,19,7635856,11842323,8.9,,triang_423444393.csv
A159092,M297536,19,7635856,11842323,8.9,,triang_423444393.csv
A159092,TJ5054086,19,7635856,13597003,11.1,,triang_423444393.csv
A159092,XT5583147,19,7635856,13616060,11.1,,triang_423444393.csv
A189271,LF8212927,19,6944843,14298442,14.8,,triang_423444393.csv
A189271,M130633,19,6944843,12654912,11.7,,triang_423444393.csv
A189271,M297536,19,6944843,12494135,11.5,,triang_423444393.csv
A189271,A605663,19,7115573,14152336,13.8,,triang_423444393.csv
A189271,A715132,19,7115573,14015936,13.5,,triang_423444393.csv
A189271,TJ5054086,19,7115573,13597003,12.5,,triang_423444393.csv
A189271,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,A189271,19,7635856,15141624,14.3,,triang_423444393.csv
A605663,A715132,19,7115573,14015936,13.5,,triang_423444393.csv
A605663,LF8212927,19,7115573,13720731,12.8,,triang_423444393.csv
A605663,M130633,19,7115573,11842323,10.4,,triang_423444393.csv
A605663,M297536,19,7115573,11842323,10.4,,triang_423444393.csv
A605663,TJ5054086,19,7115573,13616060,12.5,,triang_423444393.csv
A189271,A605663,19,7115573,14152336,13.8,,triang_423444393.csv
A605663,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,A605663,19,7635856,13710380,11.3,,triang_423444393.csv
A715132,LF8212927,19,7115573,13720731,12.8,,triang_423444393.csv
A715132,TJ5054086,19,7115573,13616060,12.5,,triang_423444393.csv
A189271,A715132,19,7115573,14015936,13.5,,triang_423444393.csv
A605663,A715132,19,7115573,14015936,13.5,,triang_423444393.csv
A715132,M130633,19,7132081,11848587,10.3,,triang_423444393.csv
A715132,M297536,19,7132081,11848587,10.3,,triang_423444393.csv
A715132,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,A715132,19,7635856,13710380,11.3,,triang_423444393.csv
LF8212927,M130633,19,6944843,11848587,11,,triang_423444393.csv
LF8212927,M297536,19,6944843,11848587,11,,triang_423444393.csv
A189271,LF8212927,19,6944843,14298442,14.8,,triang_423444393.csv
LF8212927,TJ5054086,19,7115573,13597003,12.5,,triang_423444393.csv
A605663,LF8212927,19,7115573,13720731,12.8,,triang_423444393.csv
A715132,LF8212927,19,7115573,13720731,12.8,,triang_423444393.csv
LF8212927,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,LF8212927,19,7635856,14298442,12.8,,triang_423444393.csv
M130633,M297536,19,6944843,12939792,12,,triang_423444393.csv
A189271,M130633,19,6944843,12654912,11.7,,triang_423444393.csv
LF8212927,M130633,19,6944843,11848587,11,,triang_423444393.csv
M130633,TJ5054086,19,7115573,11842323,10.4,,triang_423444393.csv
A605663,M130633,19,7115573,11842323,10.4,,triang_423444393.csv
A715132,M130633,19,7132081,11848587,10.3,,triang_423444393.csv
M130633,XT5583147,19,7259346,12939792,10.9,,triang_423444393.csv
A159092,M130633,19,7635856,11842323,8.9,,triang_423444393.csv
A189271,M297536,19,6944843,12494135,11.5,,triang_423444393.csv
LF8212927,M297536,19,6944843,11848587,11,,triang_423444393.csv
M130633,M297536,19,6944843,12939792,12,,triang_423444393.csv
A605663,M297536,19,7115573,11842323,10.4,,triang_423444393.csv
A715132,M297536,19,7132081,11848587,10.3,,triang_423444393.csv
M297536,TJ5054086,19,7138828,11842323,10.3,,triang_423444393.csv
M297536,XT5583147,19,7259346,12829697,10.8,,triang_423444393.csv
A159092,M297536,19,7635856,11842323,8.9,,triang_423444393.csv
A189271,TJ5054086,19,7115573,13597003,12.5,,triang_423444393.csv
A605663,TJ5054086,19,7115573,13616060,12.5,,triang_423444393.csv
A715132,TJ5054086,19,7115573,13616060,12.5,,triang_423444393.csv
LF8212927,TJ5054086,19,7115573,13597003,12.5,,triang_423444393.csv
M130633,TJ5054086,19,7115573,11842323,10.4,,triang_423444393.csv
M297536,TJ5054086,19,7138828,11842323,10.3,,triang_423444393.csv
TJ5054086,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,TJ5054086,19,7635856,13597003,11.1,,triang_423444393.csv
A189271,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A605663,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A715132,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
LF8212927,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
M130633,XT5583147,19,7259346,12939792,10.9,,triang_423444393.csv
M297536,XT5583147,19,7259346,12829697,10.8,,triang_423444393.csv
TJ5054086,XT5583147,19,7259346,13616060,12.1,,triang_423444393.csv
A159092,XT5583147,19,7635856,13616060,11.1,,triang_423444393.csv
