Label,Chr,Start,End,cM,Source
GU1800109,9,128928087,139709976,28.2,one_to_one_combined_perfect
GU1800109,17,131918,5616579,15.6,one_to_one_combined_perfect
GU1800109,8,103529405,126781758,21.4,one_to_one_combined_perfect
GU1800109,5,61749048,80399926,20.0,one_to_one_combined_perfect
GU1800109,5,94610224,115285650,16.5,one_to_one_combined_perfect
GU1800109,19,39528932,55728651,39.7,one_to_one_combined_perfect
GU1800109,1,48053426,66691885,21.7,one_to_one_combined_perfect
GU1800109,9,92515514,110210362,17.4,one_to_one_combined_perfect
GU1800109,8,16870536,27479227,18.4,one_to_one_combined_perfect
GU1800109,13,105025012,110304057,15.2,one_to_one_combined_perfect
GU1800109,4,175273562,182813298,12.8,one_to_one_combined_perfect
GU1800109,3,182970805,192028670,21.2,one_to_one_combined_perfect
GU1800109,3,8316110,20996215,18.2,one_to_one_combined_perfect
GU1800109,11,100510448,122466121,25.2,one_to_one_combined_perfect
GU1800109,8,98987918,126843414,28.2,one_to_one_combined_perfect
GU1800109,3,8327085,21083986,18.3,one_to_one_combined_perfect
GU1800109,3,181954164,190722423,20.2,one_to_one_combined_perfect
GU1800109,9,115781111,129166088,17.3,one_to_one_combined_perfect
GU1800109,1,36887163,53259950,15.2,one_to_one_combined_perfect
GU1800109,1,53778904,68105186,20.7,one_to_one_combined_perfect
GU1800109,5,4717060,16102201,22.7,one_to_one_combined_perfect
GU1800109,11,124453666,134926754,23.1,one_to_one_combined_perfect
GU1800109,3,63788094,87276699,23.1,one_to_one_combined_perfect
GU1800109,16,53416622,66053401,18.3,one_to_one_combined_perfect
GU1800109,8,76226176,105696848,23.6,one_to_one_combined_perfect
GU1800109,16,79738625,85296204,18.1,one_to_one_combined_perfect
GU1800109,3,176691296,190791994,24.9,one_to_one_combined_perfect
GU1800109,4,178221198,185361242,16.8,one_to_one_combined_perfect
GU1800109,22,44881968,49592082,17.4,one_to_one_combined_perfect
GU1800109,6,123865515,137363835,15.8,one_to_one_combined_perfect
GU1800109,1,41032059,62284504,21.9,one_to_one_combined_perfect
GU1800109,16,80419872,85296204,17.0,one_to_one_combined_perfect
GU1800109,11,19580233,29872433,15.2,one_to_one_combined_perfect
GU1800109,22,44886297,49877875,18.8,one_to_one_combined_perfect
GU1800109,8,22784735,36986164,15.6,one_to_one_combined_perfect
GU1800109,14,76989856,90539350,15.9,one_to_one_combined_perfect
GU1800109,6,143083063,158486110,20.4,one_to_one_combined_perfect
GU1800109,11,33961756,69351911,25.0,one_to_one_combined_perfect
GU1800109,1,57400984,68105186,15.2,one_to_one_combined_perfect
GU1800109,8,92295114,121603802,25.0,one_to_one_combined_perfect
GU1800109,7,40809143,69238158,20.5,one_to_one_combined_perfect
GU1800109,8,51564759,62723254,12.4,one_to_one_combined_perfect
GU1800109,18,4150108,8467173,17.9,one_to_one_combined_perfect
GU1800109,3,61495,5351214,16.2,one_to_one_combined_perfect
GU1800109,7,7804403,20737300,21.0,one_to_one_combined_perfect
GU1800109,3,61495,5332265,16.1,one_to_one_combined_perfect
GU1800109,21,28196045,43102097,30.1,one_to_one_combined_perfect
GU1800109,18,6487465,12741370,21.4,one_to_one_combined_perfect
GU1800109,10,125262764,132749766,20.7,one_to_one_combined_perfect
GU1800109,12,118562757,128498837,17.7,one_to_one_combined_perfect
GU1800109,7,80611355,95697118,13.3,one_to_one_combined_perfect
GU1800109,15,57725259,80014686,29.4,one_to_one_combined_perfect
GU1800109,19,15012726,35219548,21.5,one_to_one_combined_perfect
GU1800109,1,201246636,211425658,15.4,one_to_one_combined_perfect
GU1800109,10,73729752,105246283,29.9,one_to_one_combined_perfect
GU1800109,3,8095826,20996215,18.8,one_to_one_combined_perfect
GU1800109,18,6040528,9814778,15.4,one_to_one_combined_perfect
GU1800109,22,44842354,50582550,21.2,one_to_one_combined_perfect
GU1800109,11,45239959,93787542,32.8,one_to_one_combined_perfect
GU1800109,1,57360450,68105186,15.3,one_to_one_combined_perfect
GU1800109,3,61495,5522945,16.7,one_to_one_combined_perfect
GU1800109,18,8446393,19654137,16.5,one_to_one_combined_perfect
GU1800109,3,176750426,190722423,24.7,one_to_one_combined_perfect
GU1800109,22,44886297,49877875,18.8,one_to_one_combined_perfect
GU1800109,22,44886297,49900158,18.9,one_to_one_combined_perfect
GU1800109,14,42446967,58308024,15.2,one_to_one_combined_perfect
GU1800109,11,19427092,30047512,15.9,one_to_one_combined_perfect
GU1800109,20,63244,6100088,19.7,one_to_one_combined_perfect
GU1800109,18,67943953,75838302,21.1,one_to_one_combined_perfect
GU1800109,16,55736527,82068897,36.4,one_to_one_combined_perfect
GU1800109,3,61495,5512860,16.6,one_to_one_combined_perfect
GU1800109,4,81209842,100045574,17.0,one_to_one_combined_perfect
GU1800109,8,16690648,27458294,18.7,one_to_one_combined_perfect
GU1800109,3,65289530,101911058,24.2,one_to_one_combined_perfect
GU1800109,15,66358474,81133856,17.8,one_to_one_combined_perfect
GU1800109,8,19039642,29394781,17.9,one_to_one_combined_perfect
GU1800109,17,13546,5645968,15.8,one_to_one_combined_perfect
GU1800109,8,19054974,29453239,17.9,one_to_one_combined_perfect
GU1800109,16,79143983,84724890,19.0,one_to_one_combined_perfect
GU1800109,3,23770133,42378073,19.7,one_to_one_combined_perfect
GU1800109,11,19546520,29969227,15.4,one_to_one_combined_perfect
GU1800109,11,19580233,30378559,15.5,one_to_one_combined_perfect
GU1800109,16,77879657,82428543,15.4,one_to_one_combined_perfect
GU1800109,11,19538163,30047512,15.5,one_to_one_combined_perfect
GU1800109,15,94328994,99290406,16.9,one_to_one_combined_perfect
GU1800109,12,125269323,128642674,11.2,one_to_one_combined_perfect
GU1800109,6,88891040,106536253,16.4,one_to_one_combined_perfect
GU1800109,8,76560454,126781758,43.2,one_to_one_combined_perfect
GU1800109,5,4872310,16158739,22.3,one_to_one_combined_perfect
GU1800109,8,96232747,124865882,27.9,one_to_one_combined_perfect
GU1800109,6,76127504,101967710,17.9,one_to_one_combined_perfect
GU1800109,11,45949534,77178698,19.0,one_to_one_combined_perfect
GU1800109,1,20158241,35093593,18.2,one_to_one_combined_perfect
GU1800109,5,2908851,9997370,18.3,one_to_one_combined_perfect
GU1800109,22,44881968,49741960,18.2,one_to_one_combined_perfect
GU1800109,3,176691296,188689987,20.0,one_to_one_combined_perfect
GU1800109,4,135474690,156584397,22.1,one_to_one_combined_perfect
GU1800109,22,44886297,49408735,16.3,one_to_one_combined_perfect
GU1800109,16,72931085,81762739,19.4,one_to_one_combined_perfect
GU1800109,18,6783759,10948635,16.3,one_to_one_combined_perfect
GU1800109,5,8115307,16034232,14.1,one_to_one_combined_perfect
GU1800109,15,59478485,70516482,16.0,one_to_one_combined_perfect
GU1800109,9,129777653,138913404,25.0,one_to_one_combined_perfect
GU1800109,9,19397040,38661416,22.4,one_to_one_combined_perfect
GU1800109,3,61495,5512860,16.6,one_to_one_combined_perfect
GU1800109,3,61495,5345166,16.2,one_to_one_combined_perfect
GU1800109,3,178105341,188397584,17.7,one_to_one_combined_perfect
GU1800109,2,208706437,231284556,31.5,one_to_one_combined_perfect
GU1800109,2,208716745,231683849,32.2,one_to_one_combined_perfect
GU1800109,16,79305577,83040846,10.7,one_to_one_combined_perfect
GU1800109,11,19580233,30047512,15.3,one_to_one_combined_perfect
GU1800109,1,57211976,68105186,15.5,one_to_one_combined_perfect
GU1800109,3,62527223,73497023,17.7,one_to_one_combined_perfect
GU1800109,15,46651153,62460328,17.7,one_to_one_combined_perfect
GU1800109,1,53901837,68401005,20.9,one_to_one_combined_perfect
GU1800109,18,5181341,19558879,30.7,one_to_one_combined_perfect
GU1800109,17,228978,5855267,15.8,one_to_one_combined_perfect
GU1800109,9,3106474,9918976,15.9,one_to_one_combined_perfect
GU1800109,18,44065959,59020960,19.6,one_to_one_combined_perfect
GU1800109,3,61495,5522945,16.7,one_to_one_combined_perfect
GU1800109,5,6249440,16034232,17.8,one_to_one_combined_perfect
GU1800109,18,6092335,12747012,22.8,one_to_one_combined_perfect
GU1800109,9,115938750,129059870,16.9,one_to_one_combined_perfect
GU1800109,1,41255120,62109502,21.3,one_to_one_combined_perfect
GU1800109,1,90125566,113284079,22.8,one_to_one_combined_perfect
GU1800109,1,43254108,60448209,17.2,one_to_one_combined_perfect
GU1800109,11,19580233,29884984,15.2,one_to_one_combined_perfect
GU1800109,18,8440292,11675256,10.5,one_to_one_combined_perfect
GU1800109,2,25755848,39930277,16.1,one_to_one_combined_perfect
GU1800109,16,80641397,85296204,16.7,one_to_one_combined_perfect
GU1800109,18,69327605,75215111,17.7,one_to_one_combined_perfect
GU1800109,20,49687290,57196464,18.6,one_to_one_combined_perfect
GU1800109,12,191619,6196183,16.8,one_to_one_combined_perfect
GU1800109,2,26199220,40135076,15.9,one_to_one_combined_perfect
GU1800109,1,40974156,67352960,28.1,one_to_one_combined_perfect
GU1800109,8,22898222,36987204,15.4,one_to_one_combined_perfect
GU1800109,12,1916770,8114429,17.5,one_to_one_combined_perfect
GU1800109,5,8319421,16829132,15.2,one_to_one_combined_perfect
GU1800109,6,124178280,137372463,15.3,one_to_one_combined_perfect
GU1800109,13,91974018,99024955,10.3,one_to_one_combined_perfect
GU1800109,18,6923291,12429202,18.8,one_to_one_combined_perfect
GU1800109,5,168391942,178719364,25.3,one_to_one_combined_perfect
GU1800109,9,77406281,89199498,17.7,one_to_one_combined_perfect
GU1800109,9,115781111,127821778,16.2,one_to_one_combined_perfect
GU1800109,19,15093503,34429795,19.9,one_to_one_combined_perfect
GU1800109,18,7383326,12747012,16.6,one_to_one_combined_perfect
GU1800109,22,45107125,49911222,17.8,one_to_one_combined_perfect
GU1800109,16,5711291,13638938,21.4,one_to_one_combined_perfect
GU1800109,19,45132364,56308689,34.6,one_to_one_combined_perfect
GU1800109,15,65335863,80033885,17.9,one_to_one_combined_perfect
GU1800109,19,45202052,51954858,17.3,one_to_one_combined_perfect
GU1800109,22,45437092,49900158,16.4,one_to_one_combined_perfect
GU1800109,18,57634727,77997052,42.4,one_to_one_combined_perfect
GU1800109,20,48591758,57957021,22.3,one_to_one_combined_perfect
GU1800109,4,70513710,91748644,21.9,one_to_one_combined_perfect
GU1800109,16,79465800,85335951,19.2,one_to_one_combined_perfect
GU1800109,17,13703203,32810443,21.7,one_to_one_combined_perfect
GU1800109,1,53901837,64426469,16.2,one_to_one_combined_perfect
GU1800109,15,46666881,61177888,15.5,one_to_one_combined_perfect
GU1800109,3,2195312,5791627,12.5,one_to_one_combined_perfect
GU1800109,11,32571594,44705461,14.9,one_to_one_combined_perfect
GU1800109,12,15235173,25243893,13.9,one_to_one_combined_perfect
GU1800109,12,51713586,99135638,46.5,one_to_one_combined_perfect
GU1800109,18,49488572,67084661,25.5,one_to_one_combined_perfect
GU1800109,8,108039422,126102820,16.6,one_to_one_combined_perfect
GU1800109,8,102109037,126102820,23.4,one_to_one_combined_perfect
GU1800109,8,80290562,105409476,22.1,one_to_one_combined_perfect
GU1800109,1,43350603,66058513,24.5,one_to_one_combined_perfect
GU1800109,1,40974156,60474983,19.4,one_to_one_combined_perfect
GU1800109,20,2656328,9171861,17.8,one_to_one_combined_perfect
GU1800109,14,30043269,39319551,17.3,one_to_one_combined_perfect
GU1800109,16,79460198,85275835,19.0,one_to_one_combined_perfect
GU1800109,3,176693589,189170348,21.1,one_to_one_combined_perfect
GU1800109,6,3302217,11516046,19.0,one_to_one_combined_perfect
GU1800109,6,3153383,11333684,19.1,one_to_one_combined_perfect
GU1800109,3,133701960,147794002,14.2,one_to_one_combined_perfect
GU1800109,15,94193200,98674403,15.6,one_to_one_combined_perfect
GU1800109,17,42892795,63090555,22.8,one_to_one_combined_perfect
GU1800109,8,102261691,125968156,22.7,one_to_one_combined_perfect
GU1800109,3,176691296,190593084,24.5,one_to_one_combined_perfect
GU1800109,3,8316110,20996363,18.2,one_to_one_combined_perfect
GU1800109,10,108216760,125192081,25.3,one_to_one_combined_perfect
GU1800109,14,58295247,78779686,20.4,one_to_one_combined_perfect
GU1800109,17,207618,5636209,15.2,one_to_one_combined_perfect
GU1800109,15,51979674,64168647,15.6,one_to_one_combined_perfect
GU1800109,14,29504355,40824636,18.5,one_to_one_combined_perfect
GU1800109,8,16690648,29266126,22.5,one_to_one_combined_perfect
GU1800109,16,77888266,83324765,17.7,one_to_one_combined_perfect
GU1800109,1,211774350,229003739,16.3,one_to_one_combined_perfect
GU1800109,18,44150558,57138957,15.5,one_to_one_combined_perfect
GU1800109,1,48174867,62032669,15.8,one_to_one_combined_perfect
GU1800109,4,184517243,190872778,18.6,one_to_one_combined_perfect
GU1800109,9,133981491,139077343,17.3,one_to_one_combined_perfect
GU1800109,2,12581267,23095572,15.2,one_to_one_combined_perfect
GU1800109,10,73828748,94881612,20.1,one_to_one_combined_perfect
GU1800109,20,49625623,57193906,18.8,one_to_one_combined_perfect
GU1800109,1,171608466,193921548,17.4,one_to_one_combined_perfect
GU1800109,18,5195573,9783269,18.4,one_to_one_combined_perfect
GU1800109,18,24062211,44216758,17.0,one_to_one_combined_perfect
GU1800109,7,40760498,73814702,25.1,one_to_one_combined_perfect
GU1800109,7,42131390,76751658,25.7,one_to_one_combined_perfect
GU1800109,8,76226176,123574070,36.5,one_to_one_combined_perfect
GU1800109,13,60965482,92371090,26.2,one_to_one_combined_perfect
GU1800109,3,61495,5337127,16.2,one_to_one_combined_perfect
GU1800109,6,88973751,106548730,16.3,one_to_one_combined_perfect
GU1800109,4,134784379,156555835,22.5,one_to_one_combined_perfect
GU1800109,13,60184047,99001223,36.6,one_to_one_combined_perfect
GU1800109,20,8186186,18073844,19.6,one_to_one_combined_perfect
GU1800109,3,176647385,187004183,15.4,one_to_one_combined_perfect
GU1800109,8,96204142,103591361,10.2,one_to_one_combined_perfect
GU1800109,16,79514155,85207028,18.6,one_to_one_combined_perfect
GU1800109,18,6133402,11649014,21.1,one_to_one_combined_perfect
GU1800109,1,54354658,67937751,19.5,one_to_one_combined_perfect
GU1800109,22,45161740,50079434,18.3,one_to_one_combined_perfect
GU1800109,5,162677234,172038164,18.7,one_to_one_combined_perfect
GU1800109,3,178173268,188662678,18.2,one_to_one_combined_perfect
GU1800109,3,178173268,188662678,18.2,one_to_one_combined_perfect
GU1800109,3,177932934,188662678,18.5,one_to_one_combined_perfect
GU1800109,15,42085017,59770234,16.1,one_to_one_combined_perfect
GU1800109,9,119990164,133888771,19.3,one_to_one_combined_perfect
GU1800109,18,5985892,13033053,23.7,one_to_one_combined_perfect
GU1800109,5,6985430,16128234,16.4,one_to_one_combined_perfect
GU1800109,8,98364203,121830295,19.1,one_to_one_combined_perfect
GU1800109,4,135438724,156563407,22.1,one_to_one_combined_perfect
GU1800109,17,71458742,77379107,17.6,one_to_one_combined_perfect
GU1800109,5,6922386,16034232,16.4,one_to_one_combined_perfect
GU1800109,18,7054431,20796504,23.9,one_to_one_combined_perfect
GU1800109,3,63411,5373391,16.3,one_to_one_combined_perfect
GU1800109,4,135475307,156575786,22.0,one_to_one_combined_perfect
GU1800109,6,25674509,42940673,16.7,one_to_one_combined_perfect
GU1800109,15,61314596,81161130,23.6,one_to_one_combined_perfect
GU1800109,3,63411,5522945,16.7,one_to_one_combined_perfect
GU1800109,15,61103590,71927201,16.5,one_to_one_combined_perfect
GU1800109,6,123846449,137352519,15.8,one_to_one_combined_perfect
GU1800109,1,53259950,68105186,21.3,one_to_one_combined_perfect
GU1800109,19,41056792,48755267,11.0,one_to_one_combined_perfect
GU1800109,5,94316007,115120408,16.5,one_to_one_combined_perfect
GU1800109,18,7192874,20796504,23.1,one_to_one_combined_perfect
GU1800109,7,116895588,138013414,20.4,one_to_one_combined_perfect
GU1800109,22,45119659,49877875,17.6,one_to_one_combined_perfect
GU1800109,15,94179432,102274497,26.1,one_to_one_combined_perfect
GU1800109,14,63526171,78568445,16.3,one_to_one_combined_perfect
GU1800109,1,40974156,67937751,29.0,one_to_one_combined_perfect
GU1800109,16,105320,10706872,27.1,one_to_one_combined_perfect
GU1800109,22,46258912,50108991,15.2,one_to_one_combined_perfect
GU1800109,12,53323694,79506862,25.5,one_to_one_combined_perfect
GU1800109,5,31469172,41301008,14.1,one_to_one_combined_perfect
GU1800109,11,95040906,121266057,29.2,one_to_one_combined_perfect
GU1800109,4,11328556,30645543,25.8,one_to_one_combined_perfect
GU1800109,1,40974156,60474983,19.4,one_to_one_combined_perfect
GU1800109,11,19569074,30047512,15.4,one_to_one_combined_perfect
GU1800109,5,8115307,16128234,14.3,one_to_one_combined_perfect
GU1800109,8,106319151,126830010,19.5,one_to_one_combined_perfect
GU1800109,3,63411,5343801,16.2,one_to_one_combined_perfect
GU1800109,22,45119659,49900158,17.7,one_to_one_combined_perfect
GU1800109,16,62571383,86114829,42.1,one_to_one_combined_perfect
GU1800109,22,44886297,49915072,18.9,one_to_one_combined_perfect
GU1800109,11,100271469,122675454,26.1,one_to_one_combined_perfect
GU1800109,22,44778738,50079434,20.1,one_to_one_combined_perfect
GU1800109,16,79130890,84069768,15.7,one_to_one_combined_perfect
GU1800109,1,171735198,195923038,18.6,one_to_one_combined_perfect
GU1800109,12,54134291,79595885,24.7,one_to_one_combined_perfect
GU1800109,1,55261752,68105186,18.2,one_to_one_combined_perfect
GU1800109,19,15093503,34429795,19.9,one_to_one_combined_perfect
GU1800109,8,16655774,25889446,16.4,one_to_one_combined_perfect
GU1800109,6,32737494,48162231,22.2,one_to_one_combined_perfect
GU1800109,22,45057826,49911222,18.1,one_to_one_combined_perfect
GU1800109,4,24728480,37524958,15.3,one_to_one_combined_perfect
GU1800109,14,30985803,38991928,15.6,one_to_one_combined_perfect
GU1800109,3,61495,5277162,16.0,one_to_one_combined_perfect
GU1800109,12,121600529,129615327,19.7,one_to_one_combined_perfect
GU1800109,3,179460825,190865991,22.4,one_to_one_combined_perfect
GU1800109,1,52097580,68487020,22.6,one_to_one_combined_perfect
GU1800109,16,78958477,84623076,19.9,one_to_one_combined_perfect
GU1800109,9,134212428,139077343,16.8,one_to_one_combined_perfect
GU1800109,8,75659213,117630683,30.2,one_to_one_combined_perfect
GU1800109,10,95064137,117854042,22.8,one_to_one_combined_perfect
GU1800109,14,48994889,58295247,11.7,one_to_one_combined_perfect
GU1800109,16,57157206,74097266,15.5,one_to_one_combined_perfect
GU1800109,5,162736772,172038164,18.6,one_to_one_combined_perfect
GU1800109,8,102145463,125968156,23.0,one_to_one_combined_perfect
GU1800109,15,94187859,100828865,20.4,one_to_one_combined_perfect
GU1800109,14,58295247,78539977,20.1,one_to_one_combined_perfect
GU1800109,8,94999197,120435705,22.0,one_to_one_combined_perfect
GU1800109,16,78635695,85230723,24.7,one_to_one_combined_perfect
GU1800109,5,127803816,157191954,28.4,one_to_one_combined_perfect
GU1800109,6,165632,5923152,16.8,one_to_one_combined_perfect
GU1800109,6,150727036,162646769,18.4,one_to_one_combined_perfect
GU1800109,7,32199098,41241212,10.5,one_to_one_combined_perfect
GU1800109,8,102516385,125968156,22.1,one_to_one_combined_perfect
GU1800109,10,126062763,130740976,12.4,one_to_one_combined_perfect
GU1800109,12,17564072,59286610,37.9,one_to_one_combined_perfect
GU1800109,15,71956136,89620670,18.0,one_to_one_combined_perfect
GU1800109,20,15631758,46268493,31.7,one_to_one_combined_perfect
GU1800109,12,15233495,26532629,16.2,one_to_one_combined_perfect
GU1800109,16,78629320,84729712,22.5,one_to_one_combined_perfect
GU1800109,3,70229761,102058887,18.5,one_to_one_combined_perfect
GU1800109,5,4872310,16110431,22.2,one_to_one_combined_perfect
GU1800109,16,101263,4942099,10.7,one_to_one_combined_perfect
GU1800109,16,5685071,12640309,18.5,one_to_one_combined_perfect
GU1800109,6,99921822,117831565,15.6,one_to_one_combined_perfect
GU1800109,18,7143714,13033053,18.4,one_to_one_combined_perfect
GU1800109,9,76246845,89142905,18.7,one_to_one_combined_perfect
GU1800109,16,76055486,85226863,28.1,one_to_one_combined_perfect
GU1800109,22,45161740,49745407,16.9,one_to_one_combined_perfect
GU1800109,22,44886297,49512164,16.9,one_to_one_combined_perfect
GU1800109,3,61495,5492484,16.6,one_to_one_combined_perfect
GU1800109,2,106682622,123139879,15.2,one_to_one_combined_perfect
GU1800109,1,90601007,113449627,22.5,one_to_one_combined_perfect
GU1800109,22,45498115,49900158,16.2,one_to_one_combined_perfect
GU1800109,3,471460,5332265,15.6,one_to_one_combined_perfect
GU1800109,3,61495,5332265,16.1,one_to_one_combined_perfect
GU1800109,14,58295247,76871801,17.6,one_to_one_combined_perfect
GU1800109,14,29190652,34853118,13.7,one_to_one_combined_perfect
GU1800109,1,41904847,62284504,20.9,one_to_one_combined_perfect
GU1800109,8,102428258,126102820,22.6,one_to_one_combined_perfect
GU1800109,22,44886297,50079434,19.6,one_to_one_combined_perfect
GU1800109,14,29504355,40164269,18.3,one_to_one_combined_perfect
GU1800109,5,5769499,16081670,19.1,one_to_one_combined_perfect
GU1800109,15,87531281,94522459,17.0,one_to_one_combined_perfect
GU1800109,20,51851473,57958335,16.6,one_to_one_combined_perfect
GU1800109,18,6107360,12415885,22.5,one_to_one_combined_perfect
GU1800109,15,48070793,64168647,17.8,one_to_one_combined_perfect
GU1800109,8,16796681,25242876,15.3,one_to_one_combined_perfect
GU1800109,3,61495,5277162,16.0,one_to_one_combined_perfect
GU1800109,8,78510649,105381212,22.4,one_to_one_combined_perfect
GU1800109,19,15012726,34069166,19.1,one_to_one_combined_perfect
GU1800109,1,41032059,68105186,29.2,one_to_one_combined_perfect
GU1800109,22,45161740,49900158,17.5,one_to_one_combined_perfect
GU1800109,9,77404435,89336987,18.0,one_to_one_combined_perfect
GU1800109,15,46821267,64236441,19.5,one_to_one_combined_perfect
GU1800109,22,44886297,49319259,15.7,one_to_one_combined_perfect
GU1800109,16,65877585,82068897,24.2,one_to_one_combined_perfect
GU1800109,7,116839950,138013414,20.4,one_to_one_combined_perfect
GU1800109,3,176590693,190700956,24.9,one_to_one_combined_perfect
GU1800109,7,129738451,139360198,15.6,one_to_one_combined_perfect
GU1800109,15,54796677,81132202,32.6,one_to_one_combined_perfect
GU1800109,15,57750647,79999877,29.3,one_to_one_combined_perfect
GU1800109,18,6107360,11075734,19.6,one_to_one_combined_perfect
GU1800109,17,13546,5616579,15.8,one_to_one_combined_perfect
GU1800109,19,15093503,34371198,19.8,one_to_one_combined_perfect
GU1800109,19,15089173,34735393,20.6,one_to_one_combined_perfect
GU1800109,6,25976927,42462055,15.4,one_to_one_combined_perfect
GU1800109,22,44886297,49380656,16.1,one_to_one_combined_perfect
GU1800109,19,50289859,54443866,17.2,one_to_one_combined_perfect
GU1800109,20,51527356,58023771,17.6,one_to_one_combined_perfect
GU1800109,22,44886297,50079434,19.6,one_to_one_combined_perfect
GU1800109,5,168514867,178503640,24.7,one_to_one_combined_perfect
GU1800109,17,72166941,76804108,11.9,one_to_one_combined_perfect
GU1800109,3,133877570,147794002,13.9,one_to_one_combined_perfect
GU1800109,9,76944989,93975471,27.3,one_to_one_combined_perfect
GU1800109,12,125198575,128546979,10.9,one_to_one_combined_perfect
GU1800109,22,45157103,49900158,17.6,one_to_one_combined_perfect
GU1800109,1,37242743,60460443,26.1,one_to_one_combined_perfect
GU1800109,19,15008714,34429795,20.0,one_to_one_combined_perfect
GU1800109,5,5790928,16408600,19.6,one_to_one_combined_perfect
GU1800109,13,23396326,30047005,15.7,one_to_one_combined_perfect
GU1800109,11,19569074,29884984,15.3,one_to_one_combined_perfect
GU1800109,18,7132405,12834359,18.1,one_to_one_combined_perfect
GU1800109,1,18527213,37548473,24.8,one_to_one_combined_perfect
GU1800109,13,74860476,99025982,24.4,one_to_one_combined_perfect
