kit,max_cM,example_source,example_start,example_end
A080964,23.6,triang_117615066.csv,17057138,25103024
A674589,23.6,triang_117615066.csv,17057138,25086734
A696492,23.6,triang_117615066.csv,17057138,25103024
A798993,23.6,triang_117615066.csv,17057138,25097248
FL1315004,23.6,triang_117615066.csv,17057138,25099115
MT6202739,23.5,triang_117615066.csv,18451593,27557929
A274824,23.3,triang_117615066.csv,37524619,49083887
LP9229676,23.3,triang_117615066.csv,37524619,49083887
M218101,23.1,triang_1257462371.csv,7192874,20796504
M600838,23.1,triang_1257462371.csv,7192874,20796504
A328644,22.9,triang_627700260 (version 1).xlsb.csv,4725405,16205201
JZ3181461,22.9,triang_1710113373.csv,42151599,73814702
M976582,22.9,triang_627700260 (version 1).xlsb.csv,4725405,16205201
A086150,22.8,triang_1257462371.csv,6026665,12366266
AN9982138,22.8,triang_1257462371.csv,6026665,12366266
CB3913825,22.8,triang_1257462371.csv,6092335,12747012
HD3898576,22.8,triang_1257462371.csv,19565732,28046561
M099204,22.8,triang_1257462371.csv,6092335,12747012
A476395,22.7,triang_1257462371.csv,4725405,16102201
FW8281046,22.7,triang_1257462371.csv,19644662,28060148
A837004,22.5,triang_117615066.csv,19132325,27775797
HQ1725146,22.5,triang_1257462371.csv,18542311,27438359
TM219256C1,22.5,triang_1257462371.csv,6107360,12399481
A844449,22.3,triang_1257462371.csv,4872310,16158739
BJ1419172,22.2,triang_117615066.csv,18489048,27339184
SL1436980,22.2,triang_1257462371.csv,4872310,16110431
QT5956104,22.1,triang_1257462371.csv,52097580,68105186
A292160,21.9,triang_1257462371.csv,41032059,62284504
A569397,21.9,triang_1257462371.csv,41032059,62284504
PM4444277,21.7,triang_117615066.csv,18514528,27245485
A430294,21.7,triang_1257462371.csv,48053426,66691885
A910992,21.5,triang_117615066.csv,17057138,23996463
A659870,21.4,triang_1257462371.csv,6487465,12741370
CL7099498,21.3,triang_1257462371.csv,41255120,62109502
EM5846938,21.2,triang_1257462371.csv,5711291,13516748
ZN5838098,21.2,triang_1257462371.csv,6107360,11649014
LZ9085649,21.1,triang_117615066.csv,44886297,50696662
A334621,21.1,triang_1257462371.csv,45711030,78951703
LM2714784,21.1,triang_1257462371.csv,6133402,11649014
PF9218935,20.8,triang_117615066.csv,44948097,50664612
T887039,20.8,triang_1257462371.csv,41944183,62284504
JF5553885,20.7,triang_117615066.csv,44951267,50595842
UL4369868,20.5,triang_117615066.csv,44951267,50516195
A634855,20.5,triang_1257462371.csv,40809143,69238158
A275550,20.4,triang_117615066.csv,17057138,23585132
CK8146743,20.3,triang_117615066.csv,20227551,27792500
T086124,20.2,triang_117615066.csv,17227461,23861112
T692474,19.9,triang_117615066.csv,17075353,23412017
A677591,19.9,triang_1257462371.csv,15093503,34429795
DY6732887,19.9,triang_1257462371.csv,15093503,34429795
PN5190008,19.9,triang_1257462371.csv,15093503,34429795
WL9735709,19.9,triang_1257462371.csv,15089173,34429795
XX4258844,19.9,triang_1257462371.csv,15089173,34429795
A701383,19.8,triang_1257462371.csv,44842354,50079434
NV4106555,19.8,triang_1257462371.csv,44842354,50079434
A749123,19.7,triang_1257462371.csv,63244,6100088
A812099,19.7,triang_1257462371.csv,23770133,42295806
KA8656475,19.7,triang_1257462371.csv,23770133,42295806
LY9164320,19.7,triang_1257462371.csv,63244,6100088
WC5356017,19.6,triang_117615066.csv,16869887,23283219
BG2214929,19.6,triang_1257462371.csv,44065959,59020960
TG3834008,19.6,triang_1257462371.csv,44886297,50079434
WE1549796,19.6,triang_1257462371.csv,6107360,11075734
XC7342743,19.6,triang_1257462371.csv,44886297,50079434
XZ4575410,19.6,triang_1257462371.csv,5790928,16408600
ZQ6035913,19.6,triang_1257462371.csv,44065959,59020960
A027918,19.5,triang_117615066.csv,17057138,23250737
FX5788577,19.4,triang_1257462371.csv,40974156,60474983
MR7497990,19.4,triang_1257462371.csv,40974156,60474983
UW7320198,19.2,triang_1257462371.csv,18560570,26638677
A346625,19.2,triang_1710113373.csv,27666258,54356389
A903579,19.2,triang_1710113373.csv,27666258,54356389
TG9536093,19.1,triang_1257462371.csv,5769499,16081670
UF1647902,19.1,triang_1257462371.csv,15012726,34069166
WE874170C1,19.1,triang_1257462371.csv,15093503,34132422
A662229,18.9,triang_117615066.csv,17312596,23585132
A014085,18.9,triang_1257462371.csv,44886297,49900158
A379418,18.9,triang_1257462371.csv,44886297,49900158
A741451,18.9,triang_1257462371.csv,44886297,49900158
A889015,18.9,triang_1257462371.csv,46231502,77178698
NL8701182,18.9,triang_1257462371.csv,44886297,49915072
GP9715184,18.8,triang_117615066.csv,17436846,23871825
A598788,18.8,triang_1257462371.csv,44886297,49877875
A741085,18.8,triang_1257462371.csv,44886297,49877875
DV8910884,18.8,triang_1257462371.csv,6923291,12399481
A779762,18.7,triang_1257462371.csv,16690648,27458294
HP1566927,18.7,triang_1257462371.csv,16690648,27458294
A910704,18.6,triang_117615066.csv,17057138,22945890
DB3725485,18.6,triang_1257462371.csv,49687290,57193906
EZ7212971,18.6,triang_1257462371.csv,49713326,57193906
H334438,18.6,triang_1257462371.csv,3302217,11333684
H344142,18.6,triang_1257462371.csv,3302217,11333684
JQ2271445,18.6,triang_1257462371.csv,49687290,57193906
M785419,18.6,triang_1257462371.csv,3304762,10706872
A298545,18.5,triang_117615066.csv,43550149,49083887
A087790,18.5,triang_1257462371.csv,5680104,12628409
T015334,18.5,triang_1257462371.csv,5685071,12640309
A442792,18.4,triang_1257462371.csv,16870536,27458294
A590874,18.4,triang_1257462371.csv,23066736,29725663
JV6606150,18.4,triang_1257462371.csv,5195573,9783269
A051548,18.3,triang_1257462371.csv,29504355,40342577
HN1979416,18.3,triang_1257462371.csv,29504355,40124467
LR1447726,18.3,triang_1257462371.csv,45161740,50079434
T052136,18.3,triang_1257462371.csv,7153795,13033053
TG6596694,18.3,triang_1257462371.csv,29504355,40164269
A081073,18.2,triang_117615066.csv,17733896,24442459
A222071,18.2,triang_1257462371.csv,6756396,16083372
A451783,18.2,triang_1257462371.csv,8316110,20996215
A893397,18.2,triang_1257462371.csv,20158241,35093593
A894372,18.2,triang_1257462371.csv,2908851,9978292
A903193,18.2,triang_1257462371.csv,44881968,49741960
HF4234490,18.2,triang_1257462371.csv,8316110,20996215
SW7045093,18.2,triang_1257462371.csv,44881968,49741960
YS8863302,18.2,triang_1257462371.csv,20158241,35093593
ZX4031461,18.2,triang_1257462371.csv,2908851,9978292
A332614,18.1,triang_117615066.csv,21319041,27792588
A269507,18.1,triang_1257462371.csv,45048253,49911908
A459409,18.1,triang_1257462371.csv,8327085,20996215
A693176,18.1,triang_1257462371.csv,8327085,20996215
QC3466606,18.1,triang_1257462371.csv,45057826,49911222
YM4124154,18.1,triang_1257462371.csv,7132405,12834359
A401956,17.9,triang_1257462371.csv,26377775,33528268
A802320,17.8,triang_1257462371.csv,19054974,29394781
A809687,17.8,triang_1257462371.csv,19054974,29394781
BY3448748,17.8,triang_1257462371.csv,6249440,16034232
EG7611188,17.8,triang_1257462371.csv,45107125,49911222
TQ9615060,17.8,triang_1257462371.csv,48070793,64168647
UM4473235,17.8,triang_1257462371.csv,48070793,64168647
A231992,17.8,triang_1710113373.csv,34859409,61461609
DD2717291,17.8,triang_1710113373.csv,34859409,61461609
A145531,17.7,triang_1257462371.csv,45126775,49900158
NK1218196,17.7,triang_1257462371.csv,45119659,49900158
M643452,17.6,triang_1257462371.csv,45119659,49877875
XS4166890,17.6,triang_1257462371.csv,45157103,49900158
EQ6420618,17.5,triang_117615066.csv,36984307,46879022
A981818,17.5,triang_1257462371.csv,46821267,62449484
UL1373583,17.5,triang_1257462371.csv,45161740,49900158
A962192,17.4,triang_117615066.csv,17733896,24083873
A566677,17.4,triang_1257462371.csv,44881968,49592082
DN5291156,17.4,triang_1257462371.csv,1935073,8114429
PV6928374,17.4,triang_1257462371.csv,1935073,8114429
HS3309090,17.3,triang_117615066.csv,17412806,23250088
EU5288544,17.3,triang_1257462371.csv,45202052,51954858
GF2464706,17.3,triang_1257462371.csv,30043269,39319551
WZ9632101,17.3,triang_1257462371.csv,51576258,57957021
CQ8873340,17.2,triang_1257462371.csv,43254108,60448209
M979238,17.2,triang_1257462371.csv,20904858,35093593
A153640,17.1,triang_1257462371.csv,45446874,50079434
A448209,16.9,triang_117615066.csv,18316620,25485802
XN9574185,16.9,triang_117615066.csv,21317432,27557929
A242337,16.9,triang_1257462371.csv,4479612,8467173
A635727,16.9,triang_1257462371.csv,4479612,8467173
T156159,16.9,triang_1257462371.csv,45161740,49745407
T234149,16.9,triang_1257462371.csv,44886297,49512164
A217726,16.7,triang_1710113373.csv,39694610,62697358
A717492,16.7,triang_1257462371.csv,61495,5522945
BW4660552,16.7,triang_1257462371.csv,61495,5522945
BX1508264,16.7,triang_1257462371.csv,14669931,21196803
M394541,16.7,triang_1257462371.csv,63411,5522945
NG2249717,16.7,triang_1257462371.csv,21528248,29651984
QG9155881,16.7,triang_1257462371.csv,21528248,29651984
WW9766345,16.7,triang_1257462371.csv,14669931,21196803
CS4301062,16.7,triang_1710113373.csv,39694610,62697358
A005587,16.6,triang_1257462371.csv,61495,5490708
A773941,16.6,triang_1257462371.csv,61495,5512860
A931069,16.6,triang_1257462371.csv,61495,5512860
DC1903199,16.6,triang_1257462371.csv,191619,6106255
DZ9007397,16.6,triang_1257462371.csv,7383326,12747012
T280006,16.6,triang_1257462371.csv,61495,5479366
TK9201491,16.6,triang_1257462371.csv,51851473,57958335
FU5129812,16.5,triang_117615066.csv,17057138,22062213
H253643,16.5,triang_117615066.csv,17057138,22068139
A647243,16.4,triang_1257462371.csv,9521934,20737300
A718284,16.4,triang_1257462371.csv,8446393,19558879
EU9364247,16.4,triang_1257462371.csv,45437092,49900158
M112402,16.4,triang_1257462371.csv,6985430,16110431
M195758,16.4,triang_1257462371.csv,6922386,16034232
PX1278345,16.4,triang_1257462371.csv,16690648,25889446
SG9498232,16.4,triang_1257462371.csv,9521934,20737300
A044456,16.3,triang_1257462371.csv,6965278,15143453
A189271,16.3,triang_1257462371.csv,6965278,15143453
A909195,16.3,triang_1257462371.csv,44886297,49408735
A916026,16.3,triang_1257462371.csv,6783759,10948635
M228239,16.3,triang_1257462371.csv,63411,5373391
M809258,16.3,triang_1710113373.csv,21583825,29631491
M959228,16.3,triang_1710113373.csv,21583825,29631491
A024619,16.2,triang_1257462371.csv,45498003,49900158
A639550,16.2,triang_1257462371.csv,61495,5351214
A931689,16.2,triang_1257462371.csv,61495,5345166
KS9453940,16.2,triang_1257462371.csv,61495,5337127
NH2439271,16.2,triang_1257462371.csv,63411,5343801
T528909,16.2,triang_1257462371.csv,45498115,49900158
AM8081559,16.1,triang_117615066.csv,23845547,30679387
GR3054934,16.1,triang_117615066.csv,23845547,30679387
A648215,16.1,triang_1257462371.csv,61495,5332265
T686724,16.1,triang_1257462371.csv,61495,5332265
WV7552502,16.1,triang_1257462371.csv,44886297,49380656
M259302,16.1,triang_423444393.csv,17796397,35219548
A733329,15.9,triang_117615066.csv,22394227,27775797
KR7090982,15.9,triang_117615066.csv,23936482,30792115
A225057,15.9,triang_1257462371.csv,46258912,50345729
A746294,15.9,triang_1257462371.csv,19427092,30047512
UY4242990,15.9,triang_1257462371.csv,19427092,30047512
A921587,15.8,triang_117615066.csv,17790349,23585132
A282527,15.8,triang_1257462371.csv,13546,5645968
A809300,15.8,triang_1257462371.csv,13546,5616579
CX6471178,15.8,triang_1257462371.csv,26199220,39930277
DG1191676,15.8,triang_1257462371.csv,26199220,39930277
HY5761777,15.8,triang_1257462371.csv,48174867,62032669
WE6338994,15.8,triang_1257462371.csv,13546,5616579
A107383,15.7,triang_117615066.csv,22540432,27792588
DQ3752367,15.7,triang_117615066.csv,18896464,25931580
A567859,15.7,triang_1257462371.csv,18886915,25930479
AT3188257,15.7,triang_1257462371.csv,228978,5830838
UM4572003,15.7,triang_1257462371.csv,44886297,49319259
M116117,15.7,triang_137266628.csv,40499961,62554412
A090425,15.6,triang_1257462371.csv,25842605,42471579
A408604,15.6,triang_1257462371.csv,131918,5616579
A601086,15.6,triang_1257462371.csv,22784735,36965264
HJ3451604,15.6,triang_1257462371.csv,51992825,64168647
M284028,15.6,triang_1257462371.csv,25842605,42471579
M378417,15.6,triang_1257462371.csv,22784735,36965264
PX2748024,15.6,triang_1257462371.csv,39020542,47981686
QE915104C1,15.6,triang_1257462371.csv,30985803,38964544
T551029,15.6,triang_1257462371.csv,471460,5332265
ZQ6309483,15.6,triang_1257462371.csv,39020542,47981686
A068535,15.5,triang_117615066.csv,22555078,27775797
A310543,15.5,triang_117615066.csv,19737621,26455216
A263386,15.5,triang_1257462371.csv,41297992,46655385
A826188,15.5,triang_1257462371.csv,19538163,30047512
FH8646527,15.5,triang_1257462371.csv,46666881,61177888
HY1067534,15.5,triang_1257462371.csv,44150558,57138957
JU6809746,15.5,triang_1257462371.csv,41297992,46655385
TZ9129944,15.5,triang_1257462371.csv,471460,5277162
A417186,15.4,triang_1257462371.csv,50289859,54131638
A699608,15.4,triang_1257462371.csv,6040528,9814778
A816568,15.4,triang_1257462371.csv,19546520,29969227
DN4610045,15.4,triang_1257462371.csv,22898222,36986164
MU7715852,15.4,triang_1257462371.csv,19569074,30047512
WQ7280390,15.4,triang_1257462371.csv,25976927,42462055
WX5504741,15.4,triang_1257462371.csv,50289859,54131638
XS6219078,15.4,triang_1257462371.csv,18895227,25815491
A201425,15.3,triang_1257462371.csv,18895227,25809371
A818599,15.3,triang_1257462371.csv,19580233,30047512
A965891,15.3,triang_1257462371.csv,19580233,30047512
TT3286582,15.3,triang_1257462371.csv,16796681,25242876
YJ9780094,15.3,triang_1257462371.csv,19569074,29884984
A489036,15.2,triang_117615066.csv,17057138,21424589
RG1589306,15.2,triang_117615066.csv,16869887,21424589
A592886,15.2,triang_1257462371.csv,19580233,29872433
CS6385688,15.2,triang_1257462371.csv,19580233,29884984
HH6259290,15.2,triang_1257462371.csv,207618,5616579
M807220,15.2,triang_1257462371.csv,46258912,50108991
M810821,15.2,triang_1710113373.csv,10577295,19170417
A770142,15.1,triang_117615066.csv,19737621,26354655
DF1754966,15.1,triang_117615066.csv,19737621,26360824
A119769,15.1,triang_1257462371.csv,46651153,60984270
HR5833554,15.1,triang_1257462371.csv,16140376,22624941
A521194,15.1,triang_1710113373.csv,61495,4936913
A622471,15.1,triang_1710113373.csv,45897997,49900158
A782099,15.1,triang_1710113373.csv,45926585,49911908
LF9812696,15.1,triang_1710113373.csv,25444241,44214176
M787262,15.1,triang_1710113373.csv,381302,5064834
ZJ4272760,15.1,triang_1710113373.csv,45897997,49900158
M041845,14.9,triang_1257462371.csv,42134301,59121613
XH6907951,14.9,triang_137266628.csv,16870536,24859836
A722783,14.9,triang_1710113373.csv,14669931,20160066
HR7526845,14.9,triang_1710113373.csv,44886297,49179546
WT2059831,14.9,triang_1710113373.csv,44886297,49192163
A523626,14.8,triang_1710113373.csv,47818688,59420763
A720824,14.8,triang_1710113373.csv,45072074,59618816
EC2458000,14.8,triang_1710113373.csv,45617317,52917208
GV6618173,14.8,triang_1710113373.csv,45617317,52917208
LF8212927,14.8,triang_1710113373.csv,6944843,14298442
RS5803621,14.8,triang_1710113373.csv,9251214,19450683
WV2802939,14.8,triang_1710113373.csv,61495,4837269
A516400,14.8,triang_423444393.csv,33600365,55212446
FX3168979,14.8,triang_423444393.csv,33600365,55212446
CN9541471,14.7,triang_117615066.csv,19132325,25813829
PW4722737,14.7,triang_117615066.csv,24158315,29904354
RD8532446,14.7,triang_117615066.csv,24158315,29904354
T704230,14.7,triang_117615066.csv,17445502,22360650
UW4794719,14.7,triang_117615066.csv,17445502,22362483
A466782,14.7,triang_1257462371.csv,37242743,53259950
XU3845102,14.7,triang_1257462371.csv,37242743,53259950
A020637,14.7,triang_1710113373.csv,41878988,58314187
A285203,14.7,triang_1710113373.csv,45072074,59577136
A665702,14.7,triang_1710113373.csv,43199915,58262007
AX3080722,14.7,triang_1710113373.csv,7822129,13080607
FS6506440,14.7,triang_1710113373.csv,29230860,35887431
M759437,14.7,triang_1710113373.csv,37280785,53323492
MA2958703,14.7,triang_1710113373.csv,8121656,16408600
PA8815931,14.7,triang_1710113373.csv,7822129,13080607
SW6141514,14.7,triang_1710113373.csv,43199915,58262007
T918579,14.7,triang_1710113373.csv,46012120,60154009
A003152,14.6,triang_117615066.csv,20795757,26789849
A447640,14.6,triang_117615066.csv,24207962,29904354
A681022,14.6,triang_1710113373.csv,41522609,46655385
CJ7105230,14.6,triang_1710113373.csv,208573,5412650
KP4856905,14.6,triang_1710113373.csv,46133252,60154009
ZM5680278,14.6,triang_1710113373.csv,207618,5412650
M352595,14.5,triang_137266628.csv,20785504,29266126
TA9556787,14.5,triang_137266628.csv,20785504,29266126
A670407,14.5,triang_1710113373.csv,228978,5402957
A730658,14.5,triang_1710113373.csv,29504355,35887431
DG6233348,14.5,triang_1710113373.csv,5755524,11435516
FU3014701,14.5,triang_1710113373.csv,5755524,11435516
LC5426774,14.5,triang_1710113373.csv,47343997,50345729
DQ3002585,14.4,triang_1257462371.csv,8319421,16408600
A200993,14.4,triang_1710113373.csv,4312031,8960884
A483766,14.4,triang_1710113373.csv,12936286,23098341
A786529,14.4,triang_1710113373.csv,41865488,58833993
AF2138179,14.4,triang_1710113373.csv,8069278,16128234
BJ6219679,14.4,triang_1710113373.csv,6107360,9629316
CG2264974,14.4,triang_1710113373.csv,12936286,23095572
JL1289697,14.4,triang_1710113373.csv,12936286,23095572
M113858,14.4,triang_1710113373.csv,4312031,8960884
M494564,14.4,triang_1710113373.csv,12936286,23098341
QL8348479,14.4,triang_1710113373.csv,41865488,58833993
YJ3410818,14.4,triang_1710113373.csv,45617317,52807221
A159092,14.3,triang_1257462371.csv,7635856,15141624
NA4500104,14.3,triang_1257462371.csv,8115307,16128234
BP6377281,14.3,triang_1710113373.csv,4348440,8960884
BT1924995,14.3,triang_1710113373.csv,13035974,23105056
GG4074464,14.3,triang_1710113373.csv,5816938,11435516
M082429,14.3,triang_1710113373.csv,13035974,23105056
TU5250332,14.3,triang_1710113373.csv,51313308,56716419
A918677,14.2,triang_1710113373.csv,31433647,41288697
GD5167620,14.2,triang_1710113373.csv,4386282,8960884
A181405,14.2,triang_1710113373.csv,31433647,41288697
A745488,14.2,triang_1710113373.csv,13035974,23098341
A798489,14.2,triang_1710113373.csv,46258912,49877875
CB6478562,14.2,triang_1710113373.csv,13035974,23098341
EC1551873,14.2,triang_1710113373.csv,46858687,50079434
HF1084790,14.2,triang_1710113373.csv,3163547,8137597
RW3924448,14.2,triang_1710113373.csv,32034552,54365236
ZQ7884773,14.2,triang_1710113373.csv,8121656,16110431
WL8812306,14.2,triang_423444393.csv,33493797,54392373
A354010,14.1,triang_1257462371.csv,8115307,16054101
A921682,14.1,triang_1257462371.csv,8115307,16034232
MH5038785,14.1,triang_1257462371.csv,31471676,41301008
H884407,14.1,triang_1710113373.csv,46327857,49877875
H941748,14.1,triang_1710113373.csv,8121656,16034232
FK5643059,13.9,triang_1257462371.csv,15239535,25243893
SG7270990,13.9,triang_1257462371.csv,15239535,25243893
A343170,13.9,triang_1710113373.csv,46570232,49900158
A424505,13.9,triang_1710113373.csv,8325714,16110431
A493990,13.9,triang_1710113373.csv,46570232,49900158
M846802,13.9,triang_1710113373.csv,31542205,41288697
NN9504017,13.9,triang_1710113373.csv,42085017,58724524
QV7921515,13.8,triang_117615066.csv,17258808,21317432
RD5886450,13.8,triang_117615066.csv,22462358,27395609
A146677,13.8,triang_1710113373.csv,44886297,49027661
A477084,13.8,triang_1710113373.csv,44886297,49027446
A605663,13.8,triang_1710113373.csv,7115573,14152336
M105551,13.8,triang_1710113373.csv,8447297,16205201
T178664,13.8,triang_1710113373.csv,32166498,54248729
A366346,13.7,triang_117615066.csv,46691400,49911908
A633465,13.7,triang_117615066.csv,46691400,49911908
T798949,13.7,triang_1257462371.csv,29230860,34832445
A640593,13.7,triang_1710113373.csv,44507151,58238687
A709765,13.7,triang_1710113373.csv,61495,4432116
A787355,13.7,triang_1710113373.csv,47343997,50108991
DV4607172,13.7,triang_1710113373.csv,38989385,45625610
EL3986103,13.7,triang_1710113373.csv,8349784,16034232
FR2325234,13.7,triang_1710113373.csv,7143714,10686131
M106908,13.7,triang_1710113373.csv,5567366,12453032
M332530,13.7,triang_1710113373.csv,5567366,12453032
H289643,13.7,triang_423444393.csv,18780769,35282181
SA2476080,13.7,triang_423444393.csv,18780769,35282181
PT8815955,13.6,triang_117615066.csv,19739022,25904257
A192851,13.6,triang_1710113373.csv,29559404,41842341
FH4688315,13.6,triang_1710113373.csv,20216804,26195481
PH1251868,13.6,triang_1710113373.csv,29559404,41842341
T468020,13.6,triang_1710113373.csv,48192754,60460443
A552168,13.5,triang_117615066.csv,30121648,37751698
LE4849357,13.5,triang_117615066.csv,21319041,26789849
SQ1446632,13.5,triang_117615066.csv,30121648,37751698
A705540,13.5,triang_1710113373.csv,13035974,22439514
A715132,13.5,triang_1710113373.csv,7115573,14015936
BJ5114222,13.5,triang_1710113373.csv,8451757,16034232
ML3855273,13.5,triang_1710113373.csv,10963178,19596631
UJ8103425,13.5,triang_1710113373.csv,13035974,22443343
A109826,13.5,triang_423444393.csv,18964442,35311970
A253750,13.5,triang_423444393.csv,18964442,35311970
A313753,13.4,triang_1710113373.csv,61495,4351751
A552487,13.4,triang_1710113373.csv,1164339,5064834
A624504,13.4,triang_1710113373.csv,63411,4342274
M373623,13.4,triang_1710113373.csv,1590441,5490708
XK4690502,13.4,triang_423444393.csv,38989385,45410323
A345786,13.3,triang_1710113373.csv,5602880,12347361
GA1652891,13.3,triang_1710113373.csv,1674210,5522945
KD5026343,13.3,triang_1710113373.csv,25758212,41309552
M190741,13.3,triang_1710113373.csv,46907936,49877875
M940436,13.3,triang_1710113373.csv,105320,5839287
QD8622567,13.2,triang_1710113373.csv,24728480,34595824
A095674,13.2,triang_1710113373.csv,29647873,41411565
A576272,13.2,triang_1710113373.csv,24728480,34595824
JQ1367727,13.2,triang_1710113373.csv,29647873,41443472
RY7401633,13.2,triang_1710113373.csv,29647873,41443472
SZ1273613,13.2,triang_1710113373.csv,46907936,49855674
ZH6160968,13.2,triang_1710113373.csv,1424745,5232074
NS6445757,13.1,triang_117615066.csv,23284597,27708852
A487190,13.1,triang_1710113373.csv,12417263,20744727
M567425,13.1,triang_1710113373.csv,105320,5802062
MW6755258,13.1,triang_1710113373.csv,12417263,20744727
WW3183569,13.1,triang_1710113373.csv,47158179,49911908
ZV2495472,13.1,triang_1710113373.csv,19056153,35219548
A157181,12.9,triang_117615066.csv,17057138,20248391
A221288,12.9,triang_117615066.csv,17057138,20248391
QM8143921,12.9,triang_117615066.csv,16869887,20241160
A123757,12.9,triang_1710113373.csv,47343997,49900158
A215760,12.9,triang_1710113373.csv,11593982,19865203
A311945,12.9,triang_1710113373.csv,29795932,41187089
A559095,12.9,triang_1710113373.csv,1897820,6956106
A824237,12.9,triang_1710113373.csv,6107360,9029580
A832962,12.9,triang_1710113373.csv,20213955,30047512
JA9379956,12.9,triang_1710113373.csv,285806,4230372
LM7449947,12.9,triang_1710113373.csv,47343997,49900158
M428184,12.9,triang_1710113373.csv,11593982,19865203
M442824,12.9,triang_1710113373.csv,1897820,6956106
RH9256432,12.9,triang_1710113373.csv,11593982,19865203
ZH5168198,12.9,triang_1710113373.csv,46487902,49665841
AN8231767,12.9,triang_423444393.csv,1897820,6956106
AY3018315,12.9,triang_423444393.csv,44934539,48923775
JG6710484,12.8,triang_117615066.csv,17445502,21421459
SX6299219,12.8,triang_117615066.csv,17445502,21424589
A619254,12.8,triang_1257462371.csv,33961756,44704275
A154327,12.8,triang_1710113373.csv,9650391,19569454
A224647,12.8,triang_1710113373.csv,1833898,5522945
KH1219893,12.8,triang_1710113373.csv,61495,4145581
M025320,12.8,triang_1710113373.csv,47343997,49877875
M690757,12.8,triang_1710113373.csv,47369660,49887506
M890682,12.8,triang_1710113373.csv,20261282,30036177
PV3490872,12.8,triang_1710113373.csv,47343997,49877875
RF1169631,12.8,triang_1710113373.csv,47440669,49915072
SM6533250,12.8,triang_1710113373.csv,47440669,49915072
ZQ5901887,12.7,triang_117615066.csv,23587894,27785119
A050308,12.7,triang_1710113373.csv,50882159,60762564
A103625,12.7,triang_1710113373.csv,24222710,28130072
A540771,12.7,triang_1710113373.csv,4872310,10150933
A592597,12.7,triang_1710113373.csv,50882159,60762564
CC7715218,12.7,triang_1710113373.csv,32985954,38190888
KX1175300,12.7,triang_1710113373.csv,47443731,49900158
M992057,12.7,triang_1710113373.csv,4831601,10105947
NT1987265,12.7,triang_1710113373.csv,47443731,49900158
AW6756343,12.7,triang_423444393.csv,44975213,48923775
MK3153391,12.7,triang_423444393.csv,44842354,48827287
A115941,12.6,triang_1710113373.csv,47561467,49911222
