Source,Target,Shared cM,avgSegment,largestSegment,nrOfSegmentsLargestSegment,nrOfSegments,segments
A179314,QJ6606423,21.8,21.8,21.8,1,1,21.8
A203692,A730468,23.2,23.2,23.2,1,1,23.2
A203692,A913034,23.3,23.3,23.3,1,1,23.3
A203692,LC1258304,23.3,23.3,23.3,1,1,23.3
A203692,M508352,24.1,24.1,24.1,1,1,24.1
A221768,A119745,114.7,114.7,114.7,1,1,114.7
A221768,A241173,28.3,28.3,28.3,1,1,28.3
A221768,KC3483370,32.5,32.5,32.5,1,1,32.5
A238073,A944552,21.6,21.6,21.6,1,1,21.6
A241173,A221768,28.3,28.3,28.3,1,1,28.3
A241173,KC3483370,23.6,23.6,23.6,1,1,23.6
A271697,A676257,32.0,16.0,22.7,2,2,9.3|22.7
A314092,A837509,28.7,28.7,28.7,1,1,28.7
A314092,BY8696773,28.7,28.7,28.7,1,1,28.7
A314092,LZ4604299,27.1,27.1,27.1,1,1,27.1
A401306,A112434,59.8,59.8,59.8,1,1,59.8
A417186,FK5643059,18.9,18.9,18.9,1,1,18.9
A421826,A174229,30.5,30.5,30.5,1,1,30.5
A421826,A179314,22.2,22.2,22.2,1,1,22.2
A421826,A449518,31.1,31.1,31.1,1,1,31.1
A421826,A514251,22.1,22.1,22.1,1,1,22.1
A421826,CG1454735,26.7,26.7,26.7,1,1,26.7
A421826,HQ6656088,53.2,53.2,53.2,1,1,53.2
A421826,PM5923821,42.2,21.1,33.6,2,2,8.6|33.6
A421826,QJ6606423,69.9,69.9,69.9,1,1,69.9
A435181,YA5891572,40.0,40.0,40.0,1,1,40.0
A446873,TR2300178,111.1,111.1,111.1,1,1,111.1
A449518,A174229,30.6,30.6,30.6,1,1,30.6
A449518,A179314,21.7,21.7,21.7,1,1,21.7
A449518,A421826,31.1,31.1,31.1,1,1,31.1
A449518,A514251,22.0,22.0,22.0,1,1,22.0
A449518,CG1454735,33.5,33.5,33.5,1,1,33.5
A449518,HQ6656088,17.8,17.8,17.8,1,1,17.8
A449518,PM5923821,30.4,15.2,22.0,2,2,8.4|22.0
A449518,QJ6606423,31.9,31.9,31.9,1,1,31.9
A458164,A096113,26.1,26.1,26.1,1,1,26.1
A458164,A127150,381.5,190.8,214.3,2,2,167.2|214.3
A458164,DR3673310,26.2,26.2,26.2,1,1,26.2
A458164,KJ7434162,27.8,27.8,27.8,1,1,27.8
A458164,M145423,31.3,31.3,31.3,1,1,31.3
A514251,A174229,21.7,21.7,21.7,1,1,21.7
A514251,A179314,130.3,65.2,104.7,2,2,25.6|104.7
A514251,A421826,22.1,22.1,22.1,1,1,22.1
A514251,A449518,22.0,22.0,22.0,1,1,22.0
A514251,CG1454735,17.7,17.7,17.7,1,1,17.7
A514251,HQ6656088,8.4,8.4,8.4,1,1,8.4
A514251,PM5923821,21.3,10.7,13.0,2,2,8.3|13.0
A514251,QJ6606423,21.7,21.7,21.7,1,1,21.7
A524764,FA7705366,30.8,15.4,23.3,2,2,7.5|23.3
A524764,FT8934535,17.3,17.3,17.3,1,1,17.3
A524764,TX4633113,20.9,20.9,20.9,1,1,20.9
A604398,EQ8859717,28.6,28.6,28.6,1,1,28.6
A646711,A944552,11.9,11.9,11.9,1,1,11.9
A676257,A271697,32.0,16.0,22.7,2,2,9.3|22.7
A695009,WC2904921,21.1,21.1,21.1,1,1,21.1
A712498,RG5093095,32.4,32.4,32.4,1,1,32.4
A730468,A203692,23.2,23.2,23.2,1,1,23.2
A730468,A913034,132.6,132.6,132.6,1,1,132.6
A730468,LC1258304,132.6,132.6,132.6,1,1,132.6
A730468,M508352,26.3,26.3,26.3,1,1,26.3
A767538,EJ2151777,34.4,34.4,34.4,1,1,34.4
A767538,LY4002314,19.1,19.1,19.1,1,1,19.1
A767538,WZ7604101,24.6,12.3,15.4,2,2,9.2|15.4
A799048,HW4319168,194.2,194.2,194.2,1,1,194.2
A799048,TD6753016,194.1,194.1,194.1,1,1,194.1
A837509,A314092,28.7,28.7,28.7,1,1,28.7
A837509,BY8696773,69.0,69.0,69.0,1,1,69.0
A837509,LZ4604299,98.1,49.1,53.5,2,2,44.6|53.5
A913034,A203692,23.3,23.3,23.3,1,1,23.3
A913034,A730468,132.6,132.6,132.6,1,1,132.6
A913034,M508352,26.6,26.6,26.6,1,1,26.6
A944552,A238073,21.6,21.6,21.6,1,1,21.6
A944552,A646711,11.9,11.9,11.9,1,1,11.9
AM6343585,XK7281247,30.2,30.2,30.2,1,1,30.2
BQ8717546,A081906,23.8,23.8,23.8,1,1,23.8
BQ8717546,KA4575167,20.8,20.8,20.8,1,1,20.8
BQ8717546,KJ6273739,28.7,28.7,28.7,1,1,28.7
BY8696773,A314092,28.7,28.7,28.7,1,1,28.7
BY8696773,A837509,69.0,69.0,69.0,1,1,69.0
BY8696773,LZ4604299,66.5,33.3,44.4,2,2,22.1|44.4
CG1454735,A174229,26.6,26.6,26.6,1,1,26.6
CG1454735,A179314,17.6,17.6,17.6,1,1,17.6
CG1454735,A421826,26.7,26.7,26.7,1,1,26.7
CG1454735,A449518,33.5,33.5,33.5,1,1,33.5
CG1454735,A514251,17.7,17.7,17.7,1,1,17.7
CG1454735,HQ6656088,17.4,17.4,17.4,1,1,17.4
CG1454735,PM5923821,21.9,21.9,21.9,1,1,21.9
CG1454735,QJ6606423,27.2,27.2,27.2,1,1,27.2
CR6120295,XH9889039,60.8,60.8,60.8,1,1,60.8
CR6120295,ZA6390432,10.5,10.5,10.5,1,1,10.5
DR3673310,A096113,32.9,32.9,32.9,1,1,32.9
DR3673310,A127150,26.4,26.4,26.4,1,1,26.4
DR3673310,A458164,26.2,26.2,26.2,1,1,26.2
DR3673310,KJ7434162,126.6,63.3,89.6,2,2,37.0|89.6
DR3673310,M145423,27.8,27.8,27.8,1,1,27.8
EJ2151777,A767538,34.4,34.4,34.4,1,1,34.4
EJ2151777,LY4002314,19.8,19.8,19.8,1,1,19.8
EJ2151777,WZ7604101,26.0,13.0,15.5,2,2,10.5|15.5
EQ8859717,A604398,28.6,28.6,28.6,1,1,28.6
FA7705366,A524764,30.8,15.4,23.3,2,2,7.5|23.3
FA7705366,FT8934535,21.8,21.8,21.8,1,1,21.8
FA7705366,TX4633113,21.6,21.6,21.6,1,1,21.6
FK5643059,A417186,18.9,18.9,18.9,1,1,18.9
FK5643059,UK792133C1,60.4,30.2,46.5,2,2,13.9|46.5
FN7074872,HD8030650,167.2,83.6,150.7,2,2,16.5|150.7
FN7074872,RN8582861,25.4,25.4,25.4,1,1,25.4
FN7074872,TF9862028,29.3,29.3,29.3,1,1,29.3
FN7074872,UK792133C1,23.4,23.4,23.4,1,1,23.4
FT8934535,A524764,17.3,17.3,17.3,1,1,17.3
FT8934535,FA7705366,21.8,21.8,21.8,1,1,21.8
FT8934535,TX4633113,17.6,17.6,17.6,1,1,17.6
HD8030650,FN7074872,167.2,83.6,150.7,2,2,16.5|150.7
HD8030650,RN8582861,25.5,25.5,25.5,1,1,25.5
HD8030650,TF9862028,29.5,29.5,29.5,1,1,29.5
HD8030650,UK792133C1,22.7,22.7,22.7,1,1,22.7
HQ6656088,A174229,17.7,17.7,17.7,1,1,17.7
HQ6656088,A179314,8.5,8.5,8.5,1,1,8.5
HQ6656088,A421826,53.2,53.2,53.2,1,1,53.2
HQ6656088,A449518,17.8,17.8,17.8,1,1,17.8
HQ6656088,A514251,8.4,8.4,8.4,1,1,8.4
HQ6656088,CG1454735,17.4,17.4,17.4,1,1,17.4
HQ6656088,PM5923821,28.8,28.8,28.8,1,1,28.8
HQ6656088,QJ6606423,52.7,52.7,52.7,1,1,52.7
JJ8003920,A139082,37.1,37.1,37.1,1,1,37.1
KA4575167,A081906,31.4,31.4,31.4,1,1,31.4
KA4575167,BQ8717546,20.8,20.8,20.8,1,1,20.8
KA4575167,KJ6273739,20.0,20.0,20.0,1,1,20.0
KC3483370,A221768,32.5,32.5,32.5,1,1,32.5
KC3483370,A241173,23.6,23.6,23.6,1,1,23.6
KJ6273739,A081906,23.6,23.6,23.6,1,1,23.6
KJ6273739,BQ8717546,28.7,28.7,28.7,1,1,28.7
KJ6273739,KA4575167,20.0,20.0,20.0,1,1,20.0
KJ7434162,A096113,33.2,33.2,33.2,1,1,33.2
KJ7434162,A127150,26.3,26.3,26.3,1,1,26.3
KJ7434162,A458164,27.8,27.8,27.8,1,1,27.8
KJ7434162,DR3673310,126.6,63.3,89.6,2,2,37.0|89.6
KJ7434162,M145423,30.9,30.9,30.9,1,1,30.9
KK1409626,A115869,20.2,20.2,20.2,1,1,20.2
LX2858313,MK3032413,35.2,35.2,35.2,1,1,35.2
LX2858313,UM8355041,29.900000000000002,15.0,21.1,2,2,8.8|21.1
LY4002314,A767538,19.1,19.1,19.1,1,1,19.1
LY4002314,EJ2151777,19.8,19.8,19.8,1,1,19.8
LY4002314,WZ7604101,15.2,15.2,15.2,1,1,15.2
LZ4604299,A314092,27.1,27.1,27.1,1,1,27.1
LZ4604299,A837509,98.1,49.1,53.5,2,2,44.6|53.5
LZ4604299,BY8696773,66.5,33.3,44.4,2,2,22.1|44.4
M145423,A096113,30.2,30.2,30.2,1,1,30.2
M145423,A127150,31.1,31.1,31.1,1,1,31.1
M145423,A458164,31.3,31.3,31.3,1,1,31.3
M145423,DR3673310,27.8,27.8,27.8,1,1,27.8
M145423,KJ7434162,30.9,30.9,30.9,1,1,30.9
M508352,A203692,24.1,24.1,24.1,1,1,24.1
M508352,A730468,26.3,26.3,26.3,1,1,26.3
M508352,A913034,26.6,26.6,26.6,1,1,26.6
MK3032413,LX2858313,35.2,35.2,35.2,1,1,35.2
MK3032413,UM8355041,263.6,263.6,263.6,1,1,263.6
PM5923821,A174229,67.0,16.8,23.1,4,4,8.3|13.8|21.8|23.1
PM5923821,A179314,21.4,10.7,12.6,2,2,8.8|12.6
PM5923821,A421826,42.2,21.1,33.6,2,2,8.6|33.6
PM5923821,A449518,30.4,15.2,22.0,2,2,8.4|22.0
PM5923821,A514251,21.3,10.7,13.0,2,2,8.3|13.0
PM5923821,CG1454735,21.9,21.9,21.9,1,1,21.9
PM5923821,HQ6656088,28.8,28.8,28.8,1,1,28.8
PM5923821,QJ6606423,55.699999999999996,27.9,33.3,2,2,22.4|33.3
QJ6606423,A174229,44.3,44.3,44.3,1,1,44.3
QJ6606423,A179314,21.8,21.8,21.8,1,1,21.8
QJ6606423,A421826,69.9,69.9,69.9,1,1,69.9
QJ6606423,A449518,31.9,31.9,31.9,1,1,31.9
QJ6606423,A514251,21.7,21.7,21.7,1,1,21.7
QJ6606423,CG1454735,27.2,27.2,27.2,1,1,27.2
QJ6606423,HQ6656088,52.7,52.7,52.7,1,1,52.7
QJ6606423,PM5923821,55.699999999999996,27.9,33.3,2,2,22.4|33.3
RG5093095,A712498,32.4,32.4,32.4,1,1,32.4
RN8582861,FN7074872,25.4,25.4,25.4,1,1,25.4
RN8582861,HD8030650,25.5,25.5,25.5,1,1,25.5
RN8582861,TF9862028,25.4,25.4,25.4,1,1,25.4
RN8582861,UK792133C1,23.0,23.0,23.0,1,1,23.0
TF9862028,FN7074872,29.3,29.3,29.3,1,1,29.3
TF9862028,HD8030650,29.5,29.5,29.5,1,1,29.5
TF9862028,RN8582861,25.4,25.4,25.4,1,1,25.4
TF9862028,UK792133C1,22.6,22.6,22.6,1,1,22.6
TX4633113,A524764,20.9,20.9,20.9,1,1,20.9
TX4633113,FA7705366,21.6,21.6,21.6,1,1,21.6
TX4633113,FT8934535,17.6,17.6,17.6,1,1,17.6
UK792133C1,FK5643059,60.4,30.2,46.5,2,2,13.9|46.5
UK792133C1,FN7074872,23.4,23.4,23.4,1,1,23.4
UK792133C1,HD8030650,22.7,22.7,22.7,1,1,22.7
UK792133C1,RN8582861,23.0,23.0,23.0,1,1,23.0
UK792133C1,TF9862028,22.6,22.6,22.6,1,1,22.6
UM8355041,LX2858313,29.900000000000002,15.0,21.1,2,2,8.8|21.1
UM8355041,MK3032413,263.6,263.6,263.6,1,1,263.6
WC2904921,A695009,21.1,21.1,21.1,1,1,21.1
WZ7604101,A767538,24.6,12.3,15.4,2,2,9.2|15.4
WZ7604101,EJ2151777,26.0,13.0,15.5,2,2,10.5|15.5
WZ7604101,LY4002314,15.2,15.2,15.2,1,1,15.2
XH9889039,CR6120295,60.8,60.8,60.8,1,1,60.8
XK7281247,AM6343585,30.2,30.2,30.2,1,1,30.2
YA5891572,A435181,40.0,40.0,40.0,1,1,40.0
ZA6390432,CR6120295,10.5,10.5,10.5,1,1,10.5
